COLE_CODIGO_COLEGIO;COLE_NOMBRE_SEDE;COLE_ES_BILINGUE
129304;INSTITUCION EDUCATIVA DEPARTAMENTAL BALDOMERO SANIN  CANO;
129361;LICEO NUEVA FLORESTA;
129379;JORGE ABEL MOLINA;
129387;COLEGIO TÉCNICO INDUSTRIAL JOSÉ ELÍAS PUYANA SEDE C;
129445;COL  NTRA SRA DEL PERPETUO SOCORRO                                                                  ;
129510;CENTRO EDUCATIVO AUTONOMO;
129544;85/02 SAT JOSE HOLGUIN GARCES;
129585;LEONOR LOURIDO DE VELASCO;
129635;CAMILO TORRES;
129643;IE HAROLD EDER;
129668;GIMN PSICOPEDAG BILINGUE PERSONALIZADO E INTEGRAL           ;
114264;PERPETUO SOCORRO - SEDE PRINCIPAL;0
114272;INSTITUTO DE FORMACION TECNICA INFORTEC;0
114280;INSTITUTO NACIONAL EBENEZER;0
66159;PEDRO VICENTE ABADIA;0
66175;INTERNADO SAN ANTONIO;0
66183;INSTITUTO TÉCNICO EN SISTEMAS CARO Y CUERVO;0
66191;PATRICIO SYMES;0
66209;POLITECNICO;0
66217;CENT DOC PARROQ SAN MARCOS;0
66225;COL SANTA CRUZ;0
66233;INSTITUTO TECNICO COMERCIAL COLOMBO LIBANES;0
66241;INSTITUCION EDUCATIVA ALBERTO CARVAJAL BORRERO;0
66258;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL PEDRO ANTONIO MOLINA;0
66266;MONSEÑOR RAMON ARCILA - SEDE PRINCIPAL;0
66274;INSTITUCIÓN EDUCATIVA GENERAL FRANCISCO DE PAULA SANTANDER - SEDE PRINCIPAL;0
66282;INSTITUCION EDUCATIVA RAFAEL NAVIA VARON;0
66324;COLEGIO MAYOR CIUDAD DE BUGA;0
66332;INSTITUCION EDUCATIVA JESUS VILLAFANE FRANCO - SEDE PRINCIPAL;0
66357;GIMNASIO DEL CALIMA;0
66365;COLEGIO FRANCISCO ANTONIO ZEA;0
80184;COL NUEVA CIENCIA                                                                                   ;0
80200;COL CAMPESTRE MAXIMINO POITIERS                                                                     ;0
80218;CENTRO EDUCATIVO FRANCISCO REDI;0
97162;I.E.M. JUAN XXIII TÉNICA EN ADMINISTRACIÓN AGROPECUARIA Y PROCESOS INDUSTRIALES - SEDE PRINCIPAL;0
97170;COL AGROP RAMON LOZANO GARCES;0
97188;COLEGIO MIXTO AGROPECUARIO RAMON LOZANO GARCES;0
97204;COL ATENEO AUTONOMO DE COLOMBIA;0
97220;COL ADVENTISTA BALUARTE INTERAMERICANO CABI;0
97238;JOSE HILARIO LOPEZ;0
97246;INSTITUCION EDUCATIVA INTERNADO INDIGENA SAN JOSE;0
97253;COL RODOLFO MORALES - SEDE PRINCIPAL;0
97279;FUNDACIÓN EDUCATIVA LICEO VERSALLES;0
131854;LICEO DON BOSCO;
131961;I.E. JUAN LUIS LONDOÑO DE LA CUESTA - SEDE PRINCIPAL;
132357;I.E.R. DIVINO NIÑO - SEDE PRINCIPAL;
132365;INSTITUCION EDUCATIVA DEPARTAMENTAL TALAUTA;
132522;GIMNASIO CAMPESTRE VILLA MARGARITA;
